dist_exceed,car_exceed,cars,distance,solucio,time_ms
1,40,63,1692.4,true,4814
1,80,62,1665,true,3519
1,120,60,1614,true,3868
1,160,60,1651.3,false,3516
1,200,58,1595.2,false,3767
3,40,62,1593.4,true,3560
3,80,63,1640.2,true,3955
3,120,62,1645.5,false,3527
3,160,62,1649.3,false,3538
3,200,62,1623.1,true,3750
5,40,62,1633.8,true,3608
5,80,64,1709.5,false,3589
5,120,62,1659.9,true,3921
5,160,64,1705.8,true,3556
5,200,62,1641,true,3527
7,40,64,1687.5,true,3535
7,80,65,1693.2,true,3552
7,120,63,1672,false,3732
7,160,63,1674.9,true,3522
7,200,60,1592.8,true,3552
9,40,64,1679,true,3613
9,80,64,1688.5,true,4063
9,120,64,1698.6,true,3518
9,160,61,1663.2,true,3517
9,200,60,1629.1,false,3540
